"staff_id","first_name","last_name","birth_date","staff_email"
1,"Elon","Lovegood","1995-12-01","elon.love@email.co.th"
2,"Mark","Potter","1997-02-14","mark.pot@email.co.th"
3,"Davolio","Nancy","1968-12-08","davolio.nan@email.co.th"
4,"Fuller","Andrew","1952-02-19","fuller.and@email.co.th"
5,"Leverling","Janet","1963-08-30","leverling.jan@email.co.th"
6,"Peacock","Margaret","1958-09-19","peacock.mar@email.co.th"
7,"Buchanan","Steven","1955-03-04","buchanan.ste@email.co.th"
8,"Suyama","Michael","1963-07-02","suyama.mic@email.co.th"
9,"King","Robert","1963-07-02","king.rob@email.co.th"
10,"Callahan","Laura","1958-01-09","callahan.lau@email.co.th"
11,"Dodsworth","Anne","1969-07-02","dodsworth.ann@email.co.th"
12,"West","Adam","1928-09-19","west.ada@email.co.th"
13,"Stephen","Strange","1990-09-19","stephen.str@email.co.th"
14,"Teerut","Jongrak","1995-02-21","teerut.jr@gmail.co.th"
